Exercice;Libellé Etablissement;SG1;Libellé destination de rang 1;Code destination rang 2;Libellé destination de rang 2;Code destination rang 3;Libellé destination de rang 3;Libellé enveloppe;AE ouvertes;CP ouverts;EJ validés;Décaissements CP
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-3-INST;Dépenses institution;;;Fonctionnement;39088.37;41721.57;34025.55;33406.59
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-4-COMM;Communication, Docum;;;Fonctionnement;108055.92;136914.46;107037.33;131468.82
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-5-VEHI;Véhicules;;;Fonctionnement;139978.22;136822.32;139235.77;141208.46
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-5-VEHI;Véhicules;;;Investissement;40988.22;25373.27;25373.27;25373.27
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-6-CTTX;Contentieux;;;Fonctionnement;91085.0;92138.0;91683.61;88839.2
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-7-AUTR;Autr dépenses Struct;;;Fonctionnement;1669.0;1669.0;3301.52;3301.52
2021;ARS Auvergne RhAlpes;DG;Immobilier;BP5-1-LOCA;Locations, charges;;;Fonctionnement;22131419.0;3584729.25;22723638.43;3958240.44
2021;ARS Auvergne RhAlpes;DG;Immobilier;BP5-2-TRAV;Travaux, déménagemen;;;Fonctionnement;579872.95;54792.38;90758.92;63220.84
2021;ARS Auvergne RhAlpes;DG;Immobilier;BP5-2-TRAV;Travaux, déménagemen;;;Investissement;74824.23;114207.22;72010.5;91050.53
2021;ARS Auvergne RhAlpes;DG;Immobilier;BP5-3-AUTR;Autres dépenses immo;;;Fonctionnement;3208906.75;1112165.09;3082007.22;730198.58
2021;ARS Auvergne RhAlpes;DG;Masse Salariale s pl;BP1-1-REMU;Rému principale;;;Personnel;32652932.73;32652932.73;31986451.63;31986451.63
2021;ARS Auvergne RhAlpes;DG;Masse Salariale s pl;BP1-2-PRIM;Primes;;;Personnel;7295576.0;7295576.0;7552773.38;7552773.38
2021;ARS Auvergne RhAlpes;DG;Masse Salariale s pl;BP1-3-IMPO;Impôts, taxes, cotis;;;Personnel;14787786.0;14787786.0;14049354.32;14049354.32
2021;ARS Auvergne RhAlpes;DG;Masse Salariale s pl;BP1-4-CAS;CAS pensions;;;Personnel;12054900.0;12054900.0;11450216.94;11450216.94
2021;ARS Auvergne RhAlpes;DG;MS hors FIR;BP8-1-AGIR;AGIRR PATHOS;;;Fonctionnement;2750.0;2750.0;2309.61;2309.61
2021;ARS Auvergne RhAlpes;DG;MS hors FIR;BP8-1-AGIR;AGIRR PATHOS;;;Personnel;101369.18;101369.18;60452.59;60452.59
2021;ARS Auvergne RhAlpes;DG;MS hors FIR;BP8-2-ESMS;Renforts ESMS;;;Fonctionnement;80000.0;80000.0;0.0;0.0
2021;ARS Auvergne RhAlpes;DG;MS hors FIR;BP8-2-ESMS;Renforts ESMS;;;Personnel;48787.27;48787.27;48787.27;48787.27
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-1-APPL;Applicatifs et logic;;;Fonctionnement;553032.56;435763.38;601094.45;485805.34
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-1-APPL;Applicatifs et logic;;;Investissement;147865.03;162797.18;160578.59;160578.58
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-2-BURE;Bureautique;;;Fonctionnement;65787.1;70692.49;48772.53;49114.44
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-2-BURE;Bureautique;;;Investissement;212700.28;212700.28;199958.33;199958.33
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-3-INFR;Infrastruct, réseaux;;;Fonctionnement;171156.26;169386.7;136624.38;146574.67
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-3-INFR;Infrastruct, réseaux;;;Investissement;108545.05;114304.9;108545.04;128965.44
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-4-TELE;Téléphonie;;;Fonctionnement;200446.56;188846.56;186130.76;183193.73
2021;ARS Auvergne RhAlpes;DG;réseaux, téléc,infor;BP6-4-TELE;Téléphonie;;;Investissement;0.0;0.0;0.0;0.0
2021;ARS Auvergne RhAlpes;DG;SP hors FIR;BP7-4-AUTR;Autre dép Santé hFir;;;Intervention;80740.0;80740.0;70686.0;70686.0
2021;ARS Auvergne RhAlpes;DG;SP hors FIR;BP7-7-CTY;Dispositif COUTY;;;Fonctionnement;13566.57;13659.99;1186.13;13170.13
2021;ARS Auvergne RhAlpes;DG;SP hors FIR;BP7-7-CTY;Dispositif COUTY;;;Personnel;385470.81;385470.81;32275.25;32275.25
2021;ARS Auvergne RhAlpes;DG;SP hors FIR;BP7-8-COV;COVID19;;;Fonctionnement;193434.15;186934.15;161691.4;141471.4
2021;ARS Auvergne RhAlpes;DG;SP hors FIR;BP7-8-COV;COVID19;;;Investissement;83000.0;83000.0;82430.79;82430.79
2021;ARS Auvergne RhAlpes;DG;SP hors FIR;BP7-8-COV;COVID19;;;Personnel;1884313.0;1884313.0;1883660.67;1883660.67
2021;ARS Auvergne RhAlpes;FIR;BA DEMOC SANITAIRE;MI5-1;Attentes utilisateur;MI5-1-1;Formation rep usager;Intervention;103000.0;103000.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA DEMOC SANITAIRE;MI5-1;Attentes utilisateur;MI5-1-2;Recueil parole usag.;Fonctionnement;50608.8;47463.8;44741.17;43091.17
2021;ARS Auvergne RhAlpes;FIR;BA DEMOC SANITAIRE;MI5-1;Attentes utilisateur;MI5-1-2;Recueil parole usag.;Intervention;205422.0;205422.0;205422.0;205422.0
2021;ARS Auvergne RhAlpes;FIR;BA DEMOC SANITAIRE;MI5-2;Autre MI5 Démocratie;;;Fonctionnement;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA DEMOC SANITAIRE;MI5-2;Autre MI5 Démocratie;;;Intervention;3000.0;3000.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI1-5;Actions ms hors cg;MI1-5-2;Consult mémoires;Intervention;9300000.0;9300000.0;9300000.0;9300000.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI1-5;Actions ms hors cg;MI1-5-3;Prévention handicaps;Intervention;357200.0;357200.0;190000.0;190000.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI1-7;Autre MI1 Médico-soc;;;Fonctionnement;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI1-7;Autre MI1 Médico-soc;;;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-1;Plan Alzheimer;Intervention;242966.0;242966.0;242966.0;242966.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-11;Accompagn. aidants;Intervention;384956.0;454548.63;384956.0;389693.15
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-12;Profession. des SAAD;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-13;Habitat inclusif PA;Intervention;718479.0;718479.0;718478.5;718478.5
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-14;Habitat inclusif PH;Intervention;1299562.0;1314742.0;1299561.5;1299561.5
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-15;SI décisions CDAPH;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-16;Emploi accompagné PH;Intervention;2465800.0;2465800.0;2465799.0;2465799.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-17;Forfait héberg temp;Intervention;762470.0;762470.0;762469.61;762469.61
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-18;SSIAD renforcés;Intervention;60000.0;60000.0;60000.0;60000.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-2;PAERPA (protégé);Intervention;5000.0;5000.0;1845.0;1845.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-3;PAERPA autre protégé;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-4;action qualité sécur;MI2-4-6;GEM;Intervention;5106286.0;5106286.0;5051419.76;5051419.76
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-9;Autres Mi2 (med-soc);;;Fonctionnement;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI2-9;Autres Mi2 (med-soc);;;Intervention;904028.78;938647.28;817245.0;817245.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI4-10;Autre;MI4-10-1;Aide en trésorerie;Intervention;46325000.0;46325000.0;46325000.0;46325000.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI4-7;Efficience struct MS;MI4-7-1;Efficience str MS;Fonctionnement;164780.0;306280.0;159410.0;249110.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI4-7;Efficience struct MS;MI4-7-1;Efficience str MS;Intervention;275000.0;275000.0;541000.12;541000.12
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI4-7;Efficience struct MS;MI4-7-2;Amélior cond trav MS;Intervention;350000.0;350000.0;350000.0;350000.0
2021;ARS Auvergne RhAlpes;FIR;BA MEDICO-SOCIAL;MI4-9;Autre MI4 Médico-soc;;;Intervention;160000.0;160000.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-1;Actions pilotage SP;Fonctionnement;6000.0;6000.0;6000.0;6000.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-1;Actions pilotage SP;Intervention;2816542.0;2816542.0;3025130.0;3025130.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-2;Actions soutien, CLS;Fonctionnement;30000.0;30960.0;31536.0;32496.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-2;Actions soutien, CLS;Intervention;0.0;0.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-3;Actions de veille;Fonctionnement;0.0;3192.0;3756.0;6852.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-3;Actions de veille;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-4;Evaluation expertise;Fonctionnement;0.0;0.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-4;Evaluation expertise;Intervention;1858141.0;1858141.0;1896141.0;1896141.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-5;Pôles régionaux PRC;Intervention;574900.0;574900.0;574900.0;574900.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-1;Actions pilot région;MI1-1-6;CLS;Intervention;286520.0;286520.0;274732.61;274732.61
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-1;Dépist néona surdité;Intervention;169150.0;169150.0;169150.0;169150.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-10;Cancers autres;Intervention;147514.0;147514.0;68529.0;68529.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-12;Promo santé mentale;Fonctionnement;18500.0;18500.0;18500.0;18500.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-12;Promo santé mentale;Intervention;4353246.0;4367836.0;5460980.99;5460980.99
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-13;Prév path cardio-vas;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-14;Promotion nutrition;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-15;Lutte obésité;Fonctionnement;8448.0;8448.0;8448.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-15;Lutte obésité;Intervention;3388661.0;3388663.0;2276752.0;2276752.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-16;Prév maladies chron;Intervention;120008.0;120008.0;182590.0;182590.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-17;Prév risques eaux;Fonctionnement;27000.0;26686.31;77015.54;28565.91
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-17;Prév risques eaux;Intervention;0.0;0.0;16800.0;16800.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-18;Prév risques habitat;Fonctionnement;27654.0;32320.0;39321.5;33112.36
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-18;Prév risques habitat;Intervention;0.0;0.0;863311.5;863311.5
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-19;Prév risq exterieur;Fonctionnement;111832.0;162481.0;95665.0;99583.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-19;Prév risq exterieur;Intervention;2631947.0;2631947.0;1270832.0;1270832.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-2;Educ thérapeutique;Intervention;7909544.0;7909544.0;8092144.0;8092144.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-21;Promo santé populat;Intervention;8118183.0;8118183.0;8559233.0;8559233.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-22;Périnat pt enfance;Fonctionnement;3768.0;3768.0;3768.0;3768.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-22;Périnat pt enfance;Intervention;1016092.0;1016092.0;742195.0;742195.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-23;Lutte traumatismes;Intervention;911809.0;911809.0;1000182.72;1000182.72
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-26;Expé vaccin pharma;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-27;Centr rég depis néo;Intervention;1044000.0;1044000.0;1044000.0;1044000.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-28;Préven enf ado jeune;Intervention;0.0;0.0;31500.0;31500.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-29;Addictions (hrs fd);Fonctionnement;0.0;0.0;15000.0;15000.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-29;Addictions (hrs fd);Intervention;2940962.0;2940962.0;2801432.0;2801432.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-3;Vaccinations;Fonctionnement;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-3;Vaccinations;Intervention;2102960.0;2102960.0;2131044.0;2131044.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-30;Addictions (fonds);Fonctionnement;34866.0;125901.0;30380.4;41691.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-30;Addictions (fonds);Intervention;1851771.0;2483371.0;978392.64;1247105.64
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-31;Dépistage néonatal;Intervention;224464.0;224464.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-32;P en c psychotrauma;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-33;Service sanitaire;Intervention;85034.0;85034.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-34;Soutien mission PMI;Intervention;2681000.0;2681000.0;2584735.6;2584735.6
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-35;Prév antibioresist;Intervention;1370000.0;1370000.0;394489.0;394489.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-36;Accomp vie intime PH;Intervention;61900.0;61900.0;61900.0;61900.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-4;Vaccinations autres;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-6;Dispositif de LAV;Fonctionnement;387475.04;387475.04;358645.26;204658.1
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-8;Prévention vieilliss;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-9;Cancers structures;Fonctionnement;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-2;Promo Educ santé;MI1-2-9;Cancers structures;Intervention;4400013.0;4400013.0;5010013.0;5010013.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-3;Dépist malad transmi;MI1-3-1;COREVIH;Intervention;1611806.0;1611806.0;1704307.0;1704307.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-3;Dépist malad transmi;MI1-3-3;SIDA IST hépatites;Fonctionnement;60574.48;85219.48;87359.91;87359.91
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-3;Dépist malad transmi;MI1-3-3;SIDA IST hépatites;Intervention;2805325.0;2805325.0;2876149.0;2876149.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-3;Dépist malad transmi;MI1-3-4;Tuberculose;Intervention;6433570.0;6433570.0;6114484.0;6114484.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-3;Dépist malad transmi;MI1-3-7;CeGIDD;Intervention;11110637.0;11110637.0;11864875.83;11864875.83
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-4;actions sanit except;;;Fonctionnement;6500.0;6500.0;2393.99;2393.99
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-4;actions sanit except;;;Intervention;1096000.0;1096000.0;439000.0;439000.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-6;Autres MI1 Prévent;;;Fonctionnement;1000.0;2125.0;0.0;375.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-6;Autres MI1 Prévent;;;Intervention;50000.0;50000.0;50000.0;50000.0
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-8;COVID19;;;Fonctionnement;3775594.0;4169337.67;2972367.46;2778390.8
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-8;COVID19;;;Intervention;7024819.22;7073144.22;7368448.39;7368448.39
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-9;COVID19 - Dép.Spécif;MI1-9-1;Dispositif TAP;Fonctionnement;17720.36;17402.0;13265.92;13265.92
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-9;COVID19 - Dép.Spécif;MI1-9-1;Dispositif TAP;Intervention;5456254.0;5456254.0;2851644.21;2851644.21
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-9;COVID19 - Dép.Spécif;MI1-9-2;Vaccination;Fonctionnement;1318878.0;1318878.0;1494743.35;965625.52
2021;ARS Auvergne RhAlpes;FIR;BA PREVENTION;MI1-9;COVID19 - Dép.Spécif;MI1-9-2;Vaccination;Intervention;12587518.0;12587518.0;13255472.25;13255472.25
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-1;Télémédecine;Intervention;1413670.0;1413670.0;218517.74;218517.74
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-10;Expé OBEPEDIA;Intervention;110000.0;110000.0;110000.0;110000.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-11;Services numériques;Fonctionnement;18500.0;18500.0;13587.08;13439.48
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-11;Services numériques;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-12;Communautés pro CPTS;Fonctionnement;0.0;0.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-12;Communautés pro CPTS;Intervention;660000.0;660000.0;300000.0;300000.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-13;Organisat innovantes;Fonctionnement;0.0;4560.0;0.0;4560.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-13;Organisat innovantes;Intervention;1373369.33;1373369.33;1234985.0;1234985.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-14;Parcours cancer;Fonctionnement;1656.0;1656.0;1656.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-14;Parcours cancer;Intervention;1183000.0;1183000.0;780728.0;780728.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-15;Proj t santé mentale;Intervention;300000.0;300000.0;202850.89;202850.89
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-16;Ségur-Equipes soins;Intervention;83000.0;83000.0;0.0;0.0
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-2;Téléméd expér actes;Intervention;2245110.0;2245110.0;2499381.5;2499381.5
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-4;parcours cancéro lib;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-6;Diversif modes exer;Intervention;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-7;Centres spé obésité;Fonctionnement;0.0;0.0;0.0;
2021;ARS Auvergne RhAlpes;FIR;BA SANITAIRE;MI2-1;Dév parcours coordon;MI2-1-7;Centres spé obésité;Intervention;371785.0;371785.0;371785.0;371785.0
